entry,at,order
"The player ""Draddla @ fXKGmus_7y"" passed the room ownership to ""Æian @ wNb2m3SlGA"".",2021-01-03T03:09:53.106Z,160964339310900
"The player ""Æian @ wNb2m3SlGA"" quits the game with a stack of 1617.",2021-01-03T03:00:03.365Z,160964280337400
"The player ""Draddla @ fXKGmus_7y"" quits the game with a stack of 0.",2021-01-03T02:59:07.614Z,160964274762000
"-- ending hand #485 --",2021-01-03T02:59:01.565Z,160964274156603
"""Draddla @ fXKGmus_7y"" shows a K♦, 8♣.",2021-01-03T02:59:01.565Z,160964274156602
"""Æian @ wNb2m3SlGA"" collected 242 from pot with Full House, 9's over K's (combination: 9♦, 9♠, 9♣, K♠, K♥)",2021-01-03T02:59:01.565Z,160964274156601
"""Æian @ wNb2m3SlGA"" shows a 9♦, 9♠.",2021-01-03T02:59:01.565Z,160964274156600
"""Æian @ wNb2m3SlGA"" calls 97",2021-01-03T02:59:00.761Z,160964274076100
"""Draddla @ fXKGmus_7y"" raises to 97 and go all in",2021-01-03T02:58:59.315Z,160964273931500
"""Æian @ wNb2m3SlGA"" bets 34",2021-01-03T02:58:53.060Z,160964273306100
"River: 7♦, K♠, K♥, 9♣ [5♦]",2021-01-03T02:58:46.885Z,160964272690600
"""Draddla @ fXKGmus_7y"" checks",2021-01-03T02:58:46.041Z,160964272604200
"""Æian @ wNb2m3SlGA"" checks",2021-01-03T02:58:42.742Z,160964272274300
"Turn: 7♦, K♠, K♥ [9♣]",2021-01-03T02:58:39.425Z,160964271942700
"""Draddla @ fXKGmus_7y"" calls 12",2021-01-03T02:58:38.612Z,160964271861300
"""Æian @ wNb2m3SlGA"" bets 12",2021-01-03T02:58:35.932Z,160964271593300
"Flop:  [7♦, K♠, K♥]",2021-01-03T02:58:30.830Z,160964271083100
"""Draddla @ fXKGmus_7y"" calls 12",2021-01-03T02:58:30.026Z,160964271002700
"""Æian @ wNb2m3SlGA"" raises to 12",2021-01-03T02:58:28.227Z,160964270822800
"""Draddla @ fXKGmus_7y"" posts a straddle of 4",2021-01-03T02:58:24.501Z,160964270450206
"""Æian @ wNb2m3SlGA"" posts a big blind of 2",2021-01-03T02:58:24.501Z,160964270450205
"""Draddla @ fXKGmus_7y"" posts a small blind of 1",2021-01-03T02:58:24.501Z,160964270450204
"Player stacks: #6 ""Æian @ wNb2m3SlGA"" (1496) | #7 ""Draddla @ fXKGmus_7y"" (121)",2021-01-03T02:58:24.501Z,160964270450201
"-- starting hand #485  (No Limit Texas Hold'em) (dealer: ""Draddla @ fXKGmus_7y"") --",2021-01-03T02:58:24.501Z,160964270450200
"-- ending hand #484 --",2021-01-03T02:58:21.593Z,160964270159402
"""Æian @ wNb2m3SlGA"" collected 96 from pot",2021-01-03T02:58:21.593Z,160964270159401
"Uncalled bet of 72 returned to ""Æian @ wNb2m3SlGA""",2021-01-03T02:58:21.593Z,160964270159400
"""Draddla @ fXKGmus_7y"" folds",2021-01-03T02:58:20.786Z,160964270078600
"""Æian @ wNb2m3SlGA"" raises to 96",2021-01-03T02:58:18.902Z,160964269890300
"""Draddla @ fXKGmus_7y"" bets 24",2021-01-03T02:58:11.909Z,160964269190900
"River: 7♠, 2♣, 6♣, A♥ [J♥]",2021-01-03T02:58:06.227Z,160964268623100
"""Æian @ wNb2m3SlGA"" checks",2021-01-03T02:58:05.421Z,160964268542200
"""Draddla @ fXKGmus_7y"" checks",2021-01-03T02:58:02.884Z,160964268288600
"Turn: 7♠, 2♣, 6♣ [A♥]",2021-01-03T02:58:01.027Z,160964268102800
"""Draddla @ fXKGmus_7y"" calls 12",2021-01-03T02:58:00.220Z,160964268022100
"""Æian @ wNb2m3SlGA"" bets 12",2021-01-03T02:57:55.644Z,160964267564500
"""Draddla @ fXKGmus_7y"" checks",2021-01-03T02:57:52.011Z,160964267201200
"Flop:  [7♠, 2♣, 6♣]",2021-01-03T02:57:49.134Z,160964266914200
"""Æian @ wNb2m3SlGA"" calls 12",2021-01-03T02:57:48.311Z,160964266831200
