entry,at,order
"""Skjyddet @ fXKGmus_7y"" folds",2020-12-25T04:54:45.925Z,160887208592600
"""Oil Fund @ 3SrksDfXai"" posts a straddle of 4",2020-12-25T04:45:28.466Z,160887152846706
"""Skjyddet @ fXKGmus_7y"" posts a big blind of 2",2020-12-25T04:45:28.466Z,160887152846705
"""Oil Fund @ 3SrksDfXai"" posts a small blind of 1",2020-12-25T04:45:28.466Z,160887152846704
"Player stacks: #2 ""Skjyddet @ fXKGmus_7y"" (3440) | #8 ""Oil Fund @ 3SrksDfXai"" (2797)",2020-12-25T04:45:28.466Z,160887152846701
"-- starting hand #296  (No Limit Texas Hold'em) (dealer: ""Oil Fund @ 3SrksDfXai"") --",2020-12-25T04:45:28.466Z,160887152846700
"""Skjyddet @ fXKGmus_7y"" shows a 7♥, 8♥.",2020-12-25T04:45:14.310Z,160887151431100
"-- ending hand #295 --",2020-12-25T04:45:12.869Z,160887151286902
"""Skjyddet @ fXKGmus_7y"" collected 92 from pot",2020-12-25T04:45:12.869Z,160887151286901
"Uncalled bet of 100 returned to ""Skjyddet @ fXKGmus_7y""",2020-12-25T04:45:12.869Z,160887151286900
"""Oil Fund @ 3SrksDfXai"" folds",2020-12-25T04:45:12.057Z,160887151205900
"""Skjyddet @ fXKGmus_7y"" bets 100",2020-12-25T04:45:10.321Z,160887151032200
"""Oil Fund @ 3SrksDfXai"" checks",2020-12-25T04:45:04.961Z,160887150496100
"River: 6♠, 4♠, 4♦, 5♠ [5♦]",2020-12-25T04:45:00.013Z,160887150001500
"""Oil Fund @ 3SrksDfXai"" calls 28",2020-12-25T04:44:59.205Z,160887149920600
"""Skjyddet @ fXKGmus_7y"" bets 28",2020-12-25T04:44:47.736Z,160887148773700
"""Oil Fund @ 3SrksDfXai"" checks",2020-12-25T04:44:40.987Z,160887148098900
"Turn: 6♠, 4♠, 4♦ [5♠]",2020-12-25T04:44:39.033Z,160887147903600
"""Oil Fund @ 3SrksDfXai"" calls 8",2020-12-25T04:44:38.225Z,160887147822600
"""Skjyddet @ fXKGmus_7y"" bets 8",2020-12-25T04:44:36.351Z,160887147635200
"""Oil Fund @ 3SrksDfXai"" checks",2020-12-25T04:44:31.455Z,160887147145600
"Flop:  [6♠, 4♠, 4♦]",2020-12-25T04:44:24.980Z,160887146498200
"""Skjyddet @ fXKGmus_7y"" calls 10",2020-12-25T04:44:24.173Z,160887146417400
"""Oil Fund @ 3SrksDfXai"" raises to 10",2020-12-25T04:44:18.137Z,160887145813800
"""Skjyddet @ fXKGmus_7y"" posts a straddle of 4",2020-12-25T04:44:13.337Z,160887145333806
"""Oil Fund @ 3SrksDfXai"" posts a big blind of 2",2020-12-25T04:44:13.337Z,160887145333805
"""Skjyddet @ fXKGmus_7y"" posts a small blind of 1",2020-12-25T04:44:13.337Z,160887145333804
"Player stacks: #2 ""Skjyddet @ fXKGmus_7y"" (3394) | #8 ""Oil Fund @ 3SrksDfXai"" (2843)",2020-12-25T04:44:13.337Z,160887145333801
"-- starting hand #295  (No Limit Texas Hold'em) (dealer: ""Skjyddet @ fXKGmus_7y"") --",2020-12-25T04:44:13.337Z,160887145333800
"-- ending hand #294 --",2020-12-25T04:44:10.420Z,160887145042102
"""Oil Fund @ 3SrksDfXai"" collected 4 from pot",2020-12-25T04:44:10.420Z,160887145042101
"Uncalled bet of 2 returned to ""Oil Fund @ 3SrksDfXai""",2020-12-25T04:44:10.420Z,160887145042100
"""Skjyddet @ fXKGmus_7y"" folds",2020-12-25T04:44:09.611Z,160887144961300
"""Oil Fund @ 3SrksDfXai"" posts a straddle of 4",2020-12-25T04:44:03.895Z,160887144390507
"""Skjyddet @ fXKGmus_7y"" posts a big blind of 2",2020-12-25T04:44:03.895Z,160887144390506
"""Oil Fund @ 3SrksDfXai"" posts a small blind of 1",2020-12-25T04:44:03.895Z,160887144390505
"Player stacks: #2 ""Skjyddet @ fXKGmus_7y"" (3396) | #8 ""Oil Fund @ 3SrksDfXai"" (2841)",2020-12-25T04:44:03.895Z,160887144390502
"-- starting hand #294  (No Limit Texas Hold'em) (dealer: ""Oil Fund @ 3SrksDfXai"") --",2020-12-25T04:44:03.895Z,160887144390501
"The player ""Stig @ wNb2m3SlGA"" quits the game with a stack of 0.",2020-12-25T04:44:03.895Z,160887144390500
"-- ending hand #293 --",2020-12-25T04:43:57.870Z,160887143787203
"""Stig @ wNb2m3SlGA"" shows a A♦, J♦.",2020-12-25T04:43:57.870Z,160887143787202
"""Skjyddet @ fXKGmus_7y"" collected 1427 from pot with Three of a Kind, 10's (combination: 10♦, 10♣, 10♠, J♥, 7♥)",2020-12-25T04:43:57.870Z,160887143787201
"""Skjyddet @ fXKGmus_7y"" shows a 10♦, 7♥.",2020-12-25T04:43:57.870Z,160887143787200
"""Skjyddet @ fXKGmus_7y"" calls 415",2020-12-25T04:43:57.048Z,160887143705800
"""Stig @ wNb2m3SlGA"" bets 415 and go all in",2020-12-25T04:43:55.209Z,160887143521000
"""Skjyddet @ fXKGmus_7y"" checks",2020-12-25T04:43:38.715Z,160887141871500
"River: J♥, 10♣, 10♠, 4♦ [2♦]",2020-12-25T04:43:34.537Z,160887141454200
"""Skjyddet @ fXKGmus_7y"" calls 150",2020-12-25T04:43:33.731Z,160887141373200
"""Oil Fund @ 3SrksDfXai"" folds",2020-12-25T04:43:15.350Z,160887139535200
"""Stig @ wNb2m3SlGA"" bets 150",2020-12-25T04:43:13.319Z,160887139332000
"""Skjyddet @ fXKGmus_7y"" checks",2020-12-25T04:43:05.086Z,160887138508800
"""Oil Fund @ 3SrksDfXai"" checks",2020-12-25T04:42:51.633Z,160887137163400
"Turn: J♥, 10♣, 10♠ [4♦]",2020-12-25T04:42:41.296Z,160887136129800
"""Skjyddet @ fXKGmus_7y"" calls 61",2020-12-25T04:42:40.490Z,160887136049100
"""Oil Fund @ 3SrksDfXai"" calls 61",2020-12-25T04:42:34.949Z,160887135495000
"""Stig @ wNb2m3SlGA"" bets 61",2020-12-25T04:42:31.275Z,160887135127600
"""Skjyddet @ fXKGmus_7y"" checks",2020-12-25T04:42:24.302Z,160887134430200
"""Oil Fund @ 3SrksDfXai"" checks",2020-12-25T04:42:21.634Z,160887134163500
"Flop:  [J♥, 10♣, 10♠]",2020-12-25T04:42:18.580Z,160887133858400
"""Skjyddet @ fXKGmus_7y"" calls 38",2020-12-25T04:42:17.772Z,160887133777200
"""Oil Fund @ 3SrksDfXai"" calls 38",2020-12-25T04:42:14.495Z,160887133449600
"""Stig @ wNb2m3SlGA"" raises to 38",2020-12-25T04:42:10.933Z,160887133093500
"""Skjyddet @ fXKGmus_7y"" calls 13",2020-12-25T04:42:02.902Z,160887132290400
"""Oil Fund @ 3SrksDfXai"" raises to 13",2020-12-25T04:41:58.031Z,160887131803200
"""Stig @ wNb2m3SlGA"" posts a straddle of 4",2020-12-25T04:41:53.448Z,160887131345007
"""Skjyddet @ fXKGmus_7y"" posts a big blind of 2",2020-12-25T04:41:53.448Z,160887131345006
"""Oil Fund @ 3SrksDfXai"" posts a small blind of 1",2020-12-25T04:41:53.448Z,160887131345005
"Player stacks: #2 ""Skjyddet @ fXKGmus_7y"" (2633) | #5 ""Stig @ wNb2m3SlGA"" (664) | #8 ""Oil Fund @ 3SrksDfXai"" (2940)",2020-12-25T04:41:53.448Z,160887131345001
"-- starting hand #293  (No Limit Texas Hold'em) (dealer: ""Stig @ wNb2m3SlGA"") --",2020-12-25T04:41:53.448Z,160887131345000
"-- ending hand #292 --",2020-12-25T04:41:50.537Z,160887131053802
"""Skjyddet @ fXKGmus_7y"" collected 165 from pot",2020-12-25T04:41:50.537Z,160887131053801
"Uncalled bet of 85 returned to ""Skjyddet @ fXKGmus_7y""",2020-12-25T04:41:50.537Z,160887131053800
"""Oil Fund @ 3SrksDfXai"" folds",2020-12-25T04:41:49.727Z,160887130972800
"""Stig @ wNb2m3SlGA"" folds",2020-12-25T04:41:43.343Z,160887130334300
