entry,at,order
"""Joaking @ oxOFrEyGQ-"" shows a 9♥, 5♥.",2021-01-07T21:53:50.702Z,161005643070300
"""Stig @ wNb2m3SlGA"" shows a 10♦, 2♦.",2021-01-07T21:53:47.115Z,161005642711500
"Undealt cards: J♣, 7♣, 6♣, A♥ [J♦]",2021-01-07T21:53:45.655Z,161005642565500
"""Haugboi @ DeebGJIyUA"" shows a K♠, 4♠.",2021-01-07T21:53:40.485Z,161005642048600
"""Ælx @ -CDDo4UviF"" shows a 5♣, 3♣.",2021-01-07T21:52:37.630Z,161005635763000
"-- ending hand #104 --",2021-01-07T21:52:35.563Z,161005635556402
"""Nilds @ OV4KRGVsia"" collected 60 from pot",2021-01-07T21:52:35.563Z,161005635556401
"Uncalled bet of 22 returned to ""Nilds @ OV4KRGVsia""",2021-01-07T21:52:35.563Z,161005635556400
"""Halvor @ F7RG18rOxO"" folds",2021-01-07T21:52:34.756Z,161005635475700
"""Nilds @ OV4KRGVsia"" bets 22",2021-01-07T21:52:25.730Z,161005634573100
"""Halvor @ F7RG18rOxO"" checks",2021-01-07T21:52:17.017Z,161005633701800
"Turn: J♣, 7♣, 6♣ [A♥]",2021-01-07T21:52:02.387Z,161005632239200
"""erling @ YCJSl2b6B9"" folds",2021-01-07T21:52:01.579Z,161005632158000
"""Halvor @ F7RG18rOxO"" calls 8",2021-01-07T21:52:00.629Z,161005632063000
"""Nilds @ OV4KRGVsia"" bets 8",2021-01-07T21:51:48.533Z,161005630853400
"""erling @ YCJSl2b6B9"" checks",2021-01-07T21:51:36.807Z,161005629680800
"""Halvor @ F7RG18rOxO"" checks",2021-01-07T21:51:26.060Z,161005628606100
"Flop:  [J♣, 7♣, 6♣]",2021-01-07T21:51:21.194Z,161005628119600
"""Nilds @ OV4KRGVsia"" calls 14",2021-01-07T21:51:20.388Z,161005628038900
"""erling @ YCJSl2b6B9"" calls 14",2021-01-07T21:51:16.923Z,161005627692400
"""Joaking @ oxOFrEyGQ-"" folds",2021-01-07T21:51:12.748Z,161005627274900
"""Halvor @ F7RG18rOxO"" raises to 14",2021-01-07T21:51:11.822Z,161005627182200
"""Nilds @ OV4KRGVsia"" calls 2",2021-01-07T21:51:05.026Z,161005626502700
"""erling @ YCJSl2b6B9"" calls 2",2021-01-07T21:51:01.519Z,161005626152000
"""Ælx @ -CDDo4UviF"" folds",2021-01-07T21:50:59.180Z,161005625918100
"""simma @ 30if7KNn9A"" folds",2021-01-07T21:50:58.259Z,161005625826000
"""Haugboi @ DeebGJIyUA"" folds",2021-01-07T21:50:57.334Z,161005625733500
"""Stig @ wNb2m3SlGA"" folds",2021-01-07T21:50:56.385Z,161005625638500
"""Joaking @ oxOFrEyGQ-"" posts a big blind of 2",2021-01-07T21:50:53.543Z,161005625354411
"""Halvor @ F7RG18rOxO"" posts a small blind of 1",2021-01-07T21:50:53.543Z,161005625354410
"Your hand is K♠, 4♠",2021-01-07T21:50:53.543Z,161005625354404
"Player stacks: #1 ""Joaking @ oxOFrEyGQ-"" (641) | #2 ""Stig @ wNb2m3SlGA"" (192) | #3 ""Haugboi @ DeebGJIyUA"" (1194) | #5 ""simma @ 30if7KNn9A"" (602) | #6 ""Ælx @ -CDDo4UviF"" (248) | #7 ""erling @ YCJSl2b6B9"" (303) | #8 ""Nilds @ OV4KRGVsia"" (881) | #9 ""Halvor @ F7RG18rOxO"" (1119)",2021-01-07T21:50:53.543Z,161005625354401
"-- starting hand #104  (No Limit Texas Hold'em) (dealer: ""Nilds @ OV4KRGVsia"") --",2021-01-07T21:50:53.543Z,161005625354400
"-- ending hand #103 --",2021-01-07T21:50:47.506Z,161005624750804
"""erling @ YCJSl2b6B9"" shows a 4♦, 8♥.",2021-01-07T21:50:47.506Z,161005624750803
"""Joaking @ oxOFrEyGQ-"" collected 641 from pot with Two Pair, K's & 7's (combination: K♣, K♥, 7♣, 7♦, 8♣)",2021-01-07T21:50:47.506Z,161005624750802
"""Joaking @ oxOFrEyGQ-"" shows a 7♣, K♣.",2021-01-07T21:50:47.506Z,161005624750801
