entry,at,order
"The player ""Halvor @ F7RG18rOxO"" quits the game with a stack of 1416.",2021-01-16T02:08:05.207Z,161076288521300
"The player ""Joaking @ oxOFrEyGQ-"" stand up with the stack of 1545.",2021-01-16T02:06:02.189Z,161076276219200
"-- ending hand #283 --",2021-01-16T02:05:59.263Z,161076275926402
"""snigen @ 4-XEj5-BIv"" collected 206 from pot",2021-01-16T02:05:59.263Z,161076275926401
"Uncalled bet of 100 returned to ""snigen @ 4-XEj5-BIv""",2021-01-16T02:05:59.263Z,161076275926400
"""Halvor @ F7RG18rOxO"" folds",2021-01-16T02:05:58.456Z,161076275845700
"The admin ""Joaking @ oxOFrEyGQ-"" enqueued the game stop on next hand.",2021-01-16T02:05:56.847Z,161076275684800
"""snigen @ 4-XEj5-BIv"" bets 100",2021-01-16T02:05:56.291Z,161076275629100
"Turn: A♦, J♥, 4♦ [Q♦]",2021-01-16T02:05:50.417Z,161076275042000
"""Halvor @ F7RG18rOxO"" calls 50",2021-01-16T02:05:49.608Z,161076274960900
"""erling @ YCJSl2b6B9"" folds",2021-01-16T02:05:40.065Z,161076274006600
"""snigen @ 4-XEj5-BIv"" raises to 50",2021-01-16T02:05:37.513Z,161076273751300
"""Joaking @ oxOFrEyGQ-"" folds",2021-01-16T02:05:32.435Z,161076273243600
"""Halvor @ F7RG18rOxO"" bets 13",2021-01-16T02:05:31.507Z,161076273150800
"""erling @ YCJSl2b6B9"" checks",2021-01-16T02:05:28.852Z,161076272885200
"""snigen @ 4-XEj5-BIv"" checks",2021-01-16T02:05:25.979Z,161076272598000
"Flop:  [A♦, J♥, 4♦]",2021-01-16T02:05:18.465Z,161076271846600
"""Joaking @ oxOFrEyGQ-"" calls 26",2021-01-16T02:05:17.657Z,161076271765900
"""Halvor @ F7RG18rOxO"" calls 26",2021-01-16T02:05:15.458Z,161076271545900
"""erling @ YCJSl2b6B9"" calls 26",2021-01-16T02:05:13.259Z,161076271326000
"""Haugboi @ DeebGJIyUA"" folds",2021-01-16T02:05:10.404Z,161076271040500
"""snigen @ 4-XEj5-BIv"" raises to 26",2021-01-16T02:05:07.933Z,161076270793400
"""Joaking @ oxOFrEyGQ-"" calls 13",2021-01-16T02:05:03.443Z,161076270344400
"""Halvor @ F7RG18rOxO"" raises to 13",2021-01-16T02:05:01.599Z,161076270160000
"""erling @ YCJSl2b6B9"" calls 2",2021-01-16T02:04:57.986Z,161076269798600
"""Haugboi @ DeebGJIyUA"" posts a big blind of 2",2021-01-16T02:04:54.572Z,161076269457208
"""snigen @ 4-XEj5-BIv"" posts a small blind of 1",2021-01-16T02:04:54.572Z,161076269457207
"Your hand is 3♦, 5♣",2021-01-16T02:04:54.572Z,161076269457202
"Player stacks: #1 ""Haugboi @ DeebGJIyUA"" (2060) | #6 ""erling @ YCJSl2b6B9"" (361) | #7 ""Halvor @ F7RG18rOxO"" (1492) | #8 ""Joaking @ oxOFrEyGQ-"" (1571) | #9 ""snigen @ 4-XEj5-BIv"" (707)",2021-01-16T02:04:54.572Z,161076269457201
"-- starting hand #283  (No Limit Texas Hold'em) (dealer: ""Joaking @ oxOFrEyGQ-"") --",2021-01-16T02:04:54.572Z,161076269457200
"-- ending hand #282 --",2021-01-16T02:04:51.663Z,161076269166402
"""Halvor @ F7RG18rOxO"" collected 81 from pot",2021-01-16T02:04:51.663Z,161076269166401
"Uncalled bet of 13 returned to ""Halvor @ F7RG18rOxO""",2021-01-16T02:04:51.663Z,161076269166400
"""erling @ YCJSl2b6B9"" folds",2021-01-16T02:04:50.856Z,161076269085700
"""Halvor @ F7RG18rOxO"" bets 13",2021-01-16T02:04:48.148Z,161076268814900
"""erling @ YCJSl2b6B9"" checks",2021-01-16T02:04:44.928Z,161076268492900
"River: A♥, 2♠, J♦, K♠ [8♣]",2021-01-16T02:04:42.053Z,161076268205600
"""erling @ YCJSl2b6B9"" calls 13",2021-01-16T02:04:41.245Z,161076268124600
"""Halvor @ F7RG18rOxO"" bets 13",2021-01-16T02:04:38.623Z,161076267862400
"""erling @ YCJSl2b6B9"" checks",2021-01-16T02:04:35.996Z,161076267599700
"Turn: A♥, 2♠, J♦ [K♠]",2021-01-16T02:04:33.513Z,161076267351500
"""erling @ YCJSl2b6B9"" calls 13",2021-01-16T02:04:32.704Z,161076267270500
"""Halvor @ F7RG18rOxO"" bets 13",2021-01-16T02:04:29.729Z,161076266973000
"""erling @ YCJSl2b6B9"" checks",2021-01-16T02:04:26.300Z,161076266630100
