entry,at,order
"The player ""Grisegut @ 4-XEj5-BIv"" stand up with the stack of 8331.",2020-12-20T02:32:43.434Z,160843156343500
"-- ending hand #373 --",2020-12-20T02:32:40.521Z,160843156052202
"""simma @ 30if7KNn9A"" collected 2 from pot",2020-12-20T02:32:40.521Z,160843156052201
"Uncalled bet of 1 returned to ""simma @ 30if7KNn9A""",2020-12-20T02:32:40.521Z,160843156052200
"""Grisegut @ 4-XEj5-BIv"" folds",2020-12-20T02:32:39.683Z,160843155968800
"""simma @ 30if7KNn9A"" posts a big blind of 2",2020-12-20T02:32:25.624Z,160843154562505
"""Grisegut @ 4-XEj5-BIv"" posts a small blind of 1",2020-12-20T02:32:25.624Z,160843154562504
"Player stacks: #3 ""Grisegut @ 4-XEj5-BIv"" (8332) | #7 ""simma @ 30if7KNn9A"" (1237)",2020-12-20T02:32:25.624Z,160843154562501
"-- starting hand #373  (No Limit Texas Hold'em) (dealer: ""Grisegut @ 4-XEj5-BIv"") --",2020-12-20T02:32:25.624Z,160843154562500
"-- ending hand #372 --",2020-12-20T02:32:22.704Z,160843154270501
"""simma @ 30if7KNn9A"" collected 4 from pot",2020-12-20T02:32:22.704Z,160843154270500
"""Grisegut @ 4-XEj5-BIv"" folds",2020-12-20T02:32:21.898Z,160843154189900
"""simma @ 30if7KNn9A"" calls 2",2020-12-20T02:31:56.620Z,160843151662100
"""Grisegut @ 4-XEj5-BIv"" posts a big blind of 2",2020-12-20T02:31:54.168Z,160843151417006
"""simma @ 30if7KNn9A"" posts a small blind of 1",2020-12-20T02:31:54.168Z,160843151417005
"Player stacks: #3 ""Grisegut @ 4-XEj5-BIv"" (8334) | #7 ""simma @ 30if7KNn9A"" (1235)",2020-12-20T02:31:54.168Z,160843151417002
"-- starting hand #372  (No Limit Texas Hold'em) (dealer: ""simma @ 30if7KNn9A"") --",2020-12-20T02:31:54.168Z,160843151417001
"The player ""Haugboi @ xoOdn8cq1_"" stand up with the stack of 2823.",2020-12-20T02:31:54.168Z,160843151417000
"-- ending hand #371 --",2020-12-20T02:31:47.122Z,160843150712403
"""simma @ 30if7KNn9A"" shows a 6♠, K♠.",2020-12-20T02:31:47.122Z,160843150712402
"""Grisegut @ 4-XEj5-BIv"" collected 49 from pot with Pair, 7's (combination: 7♦, 7♥, Q♣, J♠, 6♦)",2020-12-20T02:31:47.122Z,160843150712401
"""Grisegut @ 4-XEj5-BIv"" shows a 7♦, 7♥.",2020-12-20T02:31:47.122Z,160843150712400
"""Grisegut @ 4-XEj5-BIv"" calls 10",2020-12-20T02:31:46.298Z,160843150629900
"""simma @ 30if7KNn9A"" bets 10",2020-12-20T02:31:43.568Z,160843150356900
