entry,at,order
"The player ""Ælx @ -CDDo4UviF"" passed the room ownership to ""Køllemand @ 4-XEj5-BIv"".",2021-01-02T19:00:45.944Z,160961404594600
"The player ""Ælx @ -CDDo4UviF"" quits the game with a stack of 260.",2021-01-02T18:56:34.212Z,160961379422600
"The player ""Joaking @ oxOFrEyGQ-"" passed the room ownership to ""Ælx @ -CDDo4UviF"".",2020-12-26T00:42:55.712Z,160894337571300
"The player ""Joaking @ oxOFrEyGQ-"" quits the game with a stack of 456.",2020-12-26T00:36:16.473Z,160894297648200
"The player ""Joaking @ oxOFrEyGQ-"" stand up with the stack of 456.",2020-12-26T00:22:16.141Z,160894213614300
"-- ending hand #226 --",2020-12-26T00:22:13.220Z,160894213322202
"""Joaking @ oxOFrEyGQ-"" collected 4 from pot",2020-12-26T00:22:13.220Z,160894213322201
"Uncalled bet of 4 returned to ""Joaking @ oxOFrEyGQ-""",2020-12-26T00:22:13.220Z,160894213322200
"""Ælx @ -CDDo4UviF"" folds",2020-12-26T00:22:12.413Z,160894213241400
"""Joaking @ oxOFrEyGQ-"" raises to 6",2020-12-26T00:22:11.201Z,160894213120200
"""Ælx @ -CDDo4UviF"" posts a big blind of 2",2020-12-26T00:22:06.916Z,160894212691705
"""Joaking @ oxOFrEyGQ-"" posts a small blind of 1",2020-12-26T00:22:06.916Z,160894212691704
"Player stacks: #5 ""Joaking @ oxOFrEyGQ-"" (454) | #7 ""Ælx @ -CDDo4UviF"" (262)",2020-12-26T00:22:06.916Z,160894212691701
"-- starting hand #226  (No Limit Texas Hold'em) (dealer: ""Joaking @ oxOFrEyGQ-"") --",2020-12-26T00:22:06.916Z,160894212691700
"""Ælx @ -CDDo4UviF"" shows a 3♠, 3♦.",2020-12-26T00:22:04.097Z,160894212409800
"-- ending hand #225 --",2020-12-26T00:22:03.298Z,160894212330002
"""Joaking @ oxOFrEyGQ-"" collected 10 from pot",2020-12-26T00:22:03.298Z,160894212330001
"Uncalled bet of 7 returned to ""Joaking @ oxOFrEyGQ-""",2020-12-26T00:22:03.298Z,160894212330000
"""Ælx @ -CDDo4UviF"" folds",2020-12-26T00:22:02.489Z,160894212249000
"""Joaking @ oxOFrEyGQ-"" bets 7",2020-12-26T00:21:55.343Z,160894211534300
"Turn: K♣, 2♦, J♠ [6♦]",2020-12-26T00:21:50.471Z,160894211047300
"""Ælx @ -CDDo4UviF"" calls 3",2020-12-26T00:21:49.659Z,160894210966000
"""Joaking @ oxOFrEyGQ-"" bets 3",2020-12-26T00:21:46.935Z,160894210693600
"Flop:  [K♣, 2♦, J♠]",2020-12-26T00:21:42.968Z,160894210296900
"""Joaking @ oxOFrEyGQ-"" checks",2020-12-26T00:21:42.143Z,160894210214400
"""Ælx @ -CDDo4UviF"" calls 2",2020-12-26T00:21:40.085Z,160894210008600
"""Joaking @ oxOFrEyGQ-"" posts a big blind of 2",2020-12-26T00:21:37.202Z,160894209721006
"""Ælx @ -CDDo4UviF"" posts a small blind of 1",2020-12-26T00:21:37.202Z,160894209721005
"Player stacks: #5 ""Joaking @ oxOFrEyGQ-"" (449) | #7 ""Ælx @ -CDDo4UviF"" (267)",2020-12-26T00:21:37.202Z,160894209721002
"-- starting hand #225  (No Limit Texas Hold'em) (dealer: ""Ælx @ -CDDo4UviF"") --",2020-12-26T00:21:37.202Z,160894209721001
"The player ""Nilds @ OV4KRGVsia"" quits the game with a stack of 0.",2020-12-26T00:21:37.202Z,160894209721000
"-- ending hand #224 --",2020-12-26T00:21:31.148Z,160894209115001
"""Joaking @ oxOFrEyGQ-"" collected 73 from pot with Pair, 8's (combination: 8♦, 8♠, A♦, 10♠, 9♥)",2020-12-26T00:21:31.148Z,160894209115000
"River: 9♥, 4♣, 10♠, 8♠ [3♦]",2020-12-26T00:21:28.128Z,160894208813100
"Turn: 9♥, 4♣, 10♠ [8♠]",2020-12-26T00:21:25.120Z,160894208512100
"Flop:  [9♥, 4♣, 10♠]",2020-12-26T00:21:22.084Z,160894208209600
"""Nilds @ OV4KRGVsia"" shows a A♠, Q♣.",2020-12-26T00:21:19.028Z,160894207902901
"""Joaking @ oxOFrEyGQ-"" shows a A♦, 8♦.",2020-12-26T00:21:19.028Z,160894207902900
"""Joaking @ oxOFrEyGQ-"" calls 36",2020-12-26T00:21:18.218Z,160894207821900
"""Ælx @ -CDDo4UviF"" folds",2020-12-26T00:21:07.851Z,160894206785200
"""Nilds @ OV4KRGVsia"" raises to 36 and go all in",2020-12-26T00:21:05.990Z,160894206599000
"""Joaking @ oxOFrEyGQ-"" posts a big blind of 2",2020-12-26T00:20:51.786Z,160894205178806
"""Ælx @ -CDDo4UviF"" posts a small blind of 1",2020-12-26T00:20:51.786Z,160894205178805
"Player stacks: #5 ""Joaking @ oxOFrEyGQ-"" (412) | #6 ""Nilds @ OV4KRGVsia"" (36) | #7 ""Ælx @ -CDDo4UviF"" (268)",2020-12-26T00:20:51.786Z,160894205178801
"-- starting hand #224  (No Limit Texas Hold'em) (dealer: ""Nilds @ OV4KRGVsia"") --",2020-12-26T00:20:51.786Z,160894205178800
"-- ending hand #223 --",2020-12-26T00:20:48.857Z,160894204885802
"""Ælx @ -CDDo4UviF"" collected 2 from pot",2020-12-26T00:20:48.857Z,160894204885801
"Uncalled bet of 1 returned to ""Ælx @ -CDDo4UviF""",2020-12-26T00:20:48.857Z,160894204885800
"""Nilds @ OV4KRGVsia"" folds",2020-12-26T00:20:48.048Z,160894204804900
"""Joaking @ oxOFrEyGQ-"" folds",2020-12-26T00:20:41.192Z,160894204119300
"""Ælx @ -CDDo4UviF"" posts a big blind of 2",2020-12-26T00:20:38.194Z,160894203819606
"""Nilds @ OV4KRGVsia"" posts a small blind of 1",2020-12-26T00:20:38.194Z,160894203819605
"Player stacks: #5 ""Joaking @ oxOFrEyGQ-"" (412) | #6 ""Nilds @ OV4KRGVsia"" (37) | #7 ""Ælx @ -CDDo4UviF"" (267)",2020-12-26T00:20:38.194Z,160894203819601
"-- starting hand #223  (No Limit Texas Hold'em) (dealer: ""Joaking @ oxOFrEyGQ-"") --",2020-12-26T00:20:38.194Z,160894203819600
"-- ending hand #222 --",2020-12-26T00:20:32.167Z,160894203217002
"""Nilds @ OV4KRGVsia"" collected 9 from pot with Pair, 2's (combination: 2♣, 2♥, Q♣, J♦, 8♦)",2020-12-26T00:20:32.167Z,160894203217001
"""Nilds @ OV4KRGVsia"" shows a 3♠, 2♣.",2020-12-26T00:20:32.167Z,160894203217000
"""Ælx @ -CDDo4UviF"" calls 2",2020-12-26T00:20:31.354Z,160894203135500
"""Nilds @ OV4KRGVsia"" bets 2",2020-12-26T00:20:29.940Z,160894202994100
"River: 2♥, 8♦, 6♠, J♦ [Q♣]",2020-12-26T00:20:27.323Z,160894202732500
"""Ælx @ -CDDo4UviF"" checks",2020-12-26T00:20:26.502Z,160894202650400
"""Nilds @ OV4KRGVsia"" checks",2020-12-26T00:20:25.056Z,160894202505700
"Turn: 2♥, 8♦, 6♠ [J♦]",2020-12-26T00:20:21.112Z,160894202111400
"""Ælx @ -CDDo4UviF"" checks",2020-12-26T00:20:20.299Z,160894202030000
"""Nilds @ OV4KRGVsia"" checks",2020-12-26T00:20:19.331Z,160894201933200
"Flop:  [2♥, 8♦, 6♠]",2020-12-26T00:20:15.319Z,160894201532100
"""Nilds @ OV4KRGVsia"" checks",2020-12-26T00:20:14.507Z,160894201450800
