entry,at,order
"-- ending hand #376 --",2021-01-10T02:37:48.797Z,161024626879802
"""Erlz @ DeebGJIyUA"" collected 4 from pot",2021-01-10T02:37:48.797Z,161024626879801
"Uncalled bet of 2 returned to ""Erlz @ DeebGJIyUA""",2021-01-10T02:37:48.797Z,161024626879800
"""Ælx @ -CDDo4UviF"" folds",2021-01-10T02:37:47.987Z,161024626799100
"""Erlz @ DeebGJIyUA"" raises to 4",2021-01-10T02:37:47.040Z,161024626704100
"""Ælx @ -CDDo4UviF"" posts a big blind of 2",2021-01-10T02:37:34.620Z,161024625462406
"""Erlz @ DeebGJIyUA"" posts a small blind of 1",2021-01-10T02:37:34.620Z,161024625462405
"Your hand is 8♣, J♥",2021-01-10T02:37:34.620Z,161024625462404
"Player stacks: #4 ""Ælx @ -CDDo4UviF"" (1474) | #7 ""Erlz @ DeebGJIyUA"" (483)",2021-01-10T02:37:34.620Z,161024625462402
"-- starting hand #376  (No Limit Texas Hold'em) (dealer: ""Erlz @ DeebGJIyUA"") --",2021-01-10T02:37:34.620Z,161024625462401
"The player ""Grisegut1 @ 4-XEj5-BIv"" quits the game with a stack of 407.",2021-01-10T02:37:34.620Z,161024625462400
"-- ending hand #375 --",2021-01-10T02:37:31.708Z,161024625170902
"""Grisegut1 @ 4-XEj5-BIv"" collected 2 from pot",2021-01-10T02:37:31.708Z,161024625170901
"Uncalled bet of 1 returned to ""Grisegut1 @ 4-XEj5-BIv""",2021-01-10T02:37:31.708Z,161024625170900
"""Erlz @ DeebGJIyUA"" folds",2021-01-10T02:37:30.899Z,161024625090000
"""Ælx @ -CDDo4UviF"" folds",2021-01-10T02:37:26.866Z,161024624686700
"""Grisegut1 @ 4-XEj5-BIv"" posts a big blind of 2",2021-01-10T02:37:20.035Z,161024624003606
"""Erlz @ DeebGJIyUA"" posts a small blind of 1",2021-01-10T02:37:20.035Z,161024624003605
"Your hand is 5♥, Q♣",2021-01-10T02:37:20.035Z,161024624003604
"Player stacks: #2 ""Grisegut1 @ 4-XEj5-BIv"" (406) | #4 ""Ælx @ -CDDo4UviF"" (1474) | #7 ""Erlz @ DeebGJIyUA"" (484)",2021-01-10T02:37:20.035Z,161024624003601
"-- starting hand #375  (No Limit Texas Hold'em) (dealer: ""Ælx @ -CDDo4UviF"") --",2021-01-10T02:37:20.035Z,161024624003600
"-- ending hand #374 --",2021-01-10T02:37:17.104Z,161024623710501
"""Erlz @ DeebGJIyUA"" collected 4 from pot",2021-01-10T02:37:17.104Z,161024623710500
"""Ælx @ -CDDo4UviF"" folds",2021-01-10T02:37:16.298Z,161024623630000
"Flop:  [J♥, A♣, 8♦]",2021-01-10T02:37:10.337Z,161024623033800
"""Erlz @ DeebGJIyUA"" checks",2021-01-10T02:37:09.525Z,161024622952600
"""Ælx @ -CDDo4UviF"" calls 2",2021-01-10T02:37:00.908Z,161024622091000
"""Grisegut1 @ 4-XEj5-BIv"" folds",2021-01-10T02:36:58.250Z,161024621825100
"""Erlz @ DeebGJIyUA"" posts a big blind of 2",2021-01-10T02:36:56.247Z,161024621624806
"""Ælx @ -CDDo4UviF"" posts a small blind of 1",2021-01-10T02:36:56.247Z,161024621624805
"Your hand is 5♦, 4♦",2021-01-10T02:36:56.247Z,161024621624804
"Player stacks: #2 ""Grisegut1 @ 4-XEj5-BIv"" (406) | #4 ""Ælx @ -CDDo4UviF"" (1476) | #7 ""Erlz @ DeebGJIyUA"" (482)",2021-01-10T02:36:56.247Z,161024621624801
"-- starting hand #374  (No Limit Texas Hold'em) (dealer: ""Grisegut1 @ 4-XEj5-BIv"") --",2021-01-10T02:36:56.247Z,161024621624800
"-- ending hand #373 --",2021-01-10T02:36:50.225Z,161024621022601
"""Erlz @ DeebGJIyUA"" collected 482 from pot with Two Pair, 10's & 9's (combination: 10♥, 10♠, 9♥, 9♣, J♣)",2021-01-10T02:36:50.225Z,161024621022600
"River: 6♣, 9♥, 2♥, 9♣ [J♣]",2021-01-10T02:36:47.209Z,161024620721100
"Turn: 6♣, 9♥, 2♥ [9♣]",2021-01-10T02:36:44.198Z,161024620419900
"Flop:  [6♣, 9♥, 2♥]",2021-01-10T02:36:41.185Z,161024620118600
"""Erlz @ DeebGJIyUA"" shows a 10♥, 10♠.",2021-01-10T02:36:38.166Z,161024619816701
"""Grisegut1 @ 4-XEj5-BIv"" shows a K♥, A♥.",2021-01-10T02:36:38.166Z,161024619816700
"Some players choose to not run it twice.",2021-01-10T02:36:37.359Z,161024619736001
"""Erlz @ DeebGJIyUA"" chooses to not run it twice.",2021-01-10T02:36:37.359Z,161024619736000
"""Grisegut1 @ 4-XEj5-BIv"" chooses to  run it twice.",2021-01-10T02:36:34.785Z,161024619478600
"""Grisegut1 @ 4-XEj5-BIv"" shows a K♥, A♥.",2021-01-10T02:36:34.248Z,161024619424900
"Remaining players decide whether to run it twice.",2021-01-10T02:36:32.418Z,161024619241901
"""Grisegut1 @ 4-XEj5-BIv"" calls 240",2021-01-10T02:36:32.418Z,161024619241900
"""Erlz @ DeebGJIyUA"" raises to 240 and go all in",2021-01-10T02:36:30.493Z,161024619049300
"""Grisegut1 @ 4-XEj5-BIv"" raises to 70",2021-01-10T02:36:26.720Z,161024618672100
"""Erlz @ DeebGJIyUA"" raises to 40",2021-01-10T02:36:21.970Z,161024618197500
"""Ælx @ -CDDo4UviF"" folds",2021-01-10T02:36:15.134Z,161024617513500
"""Grisegut1 @ 4-XEj5-BIv"" raises to 12",2021-01-10T02:36:08.609Z,161024616860900
"""Erlz @ DeebGJIyUA"" raises to 6",2021-01-10T02:36:04.098Z,161024616409900
"""Ælx @ -CDDo4UviF"" posts a big blind of 2",2021-01-10T02:35:55.883Z,161024615588406
"""Grisegut1 @ 4-XEj5-BIv"" posts a small blind of 1",2021-01-10T02:35:55.883Z,161024615588405
"Your hand is 10♥, 10♠",2021-01-10T02:35:55.883Z,161024615588404
"Player stacks: #2 ""Grisegut1 @ 4-XEj5-BIv"" (646) | #4 ""Ælx @ -CDDo4UviF"" (1478) | #7 ""Erlz @ DeebGJIyUA"" (240)",2021-01-10T02:35:55.883Z,161024615588401
"-- starting hand #373  (No Limit Texas Hold'em) (dealer: ""Erlz @ DeebGJIyUA"") --",2021-01-10T02:35:55.883Z,161024615588400
"-- ending hand #372 --",2021-01-10T02:35:49.854Z,161024614985702
"""Erlz @ DeebGJIyUA"" collected 6 from pot with Straight, 6 High (combination: 6♦, 5♦, 4♦, 3♦, 2♣)",2021-01-10T02:35:49.854Z,161024614985701
"""Erlz @ DeebGJIyUA"" shows a Q♣, 4♦.",2021-01-10T02:35:49.854Z,161024614985700
"""Ælx @ -CDDo4UviF"" checks",2021-01-10T02:35:49.042Z,161024614904300
"""Grisegut1 @ 4-XEj5-BIv"" checks",2021-01-10T02:35:46.150Z,161024614615100
"""Erlz @ DeebGJIyUA"" checks",2021-01-10T02:35:45.217Z,161024614521800
"River: 2♣, 5♦, 10♣, 6♦ [3♦]",2021-01-10T02:35:30.731Z,161024613073300
"""Ælx @ -CDDo4UviF"" checks",2021-01-10T02:35:29.919Z,161024612992000
"""Grisegut1 @ 4-XEj5-BIv"" checks",2021-01-10T02:35:24.566Z,161024612456600
"""Erlz @ DeebGJIyUA"" checks",2021-01-10T02:35:03.746Z,161024610374700
"Turn: 2♣, 5♦, 10♣ [6♦]",2021-01-10T02:34:51.170Z,161024609117200
"""Ælx @ -CDDo4UviF"" checks",2021-01-10T02:34:50.357Z,161024609035800
"""Grisegut1 @ 4-XEj5-BIv"" checks",2021-01-10T02:34:49.426Z,161024608942700
